reviews[].excerpt,reviews[].date,reviews[].user.name,reviews[].user.rating,review[].user.useful,reviews[].user.funny,reviews[].user.cool,reviews[].user.status
"Great selection of beer and a fun place to go after the Sharks game when waiting for traffic to die down. The beer menu, which is large, lists where beers are from as well as their percentage of alcohol which is super helpful!",10/4/2013,Kajal G.,4,0,0,0,170
BeST pub in downtown...really adorable bartender called  Steve.,9/27/2013,Sandra O.,5,0,0,0,1
"Overpriced food and bad service. They were unwilling to discount a burger after messing up the order and taking 30 minutes to bring a new one. The server said it ""wasn't her problem."" Won't be coming back on my next visit to San Jose!",9/7/2013,Tyler L.,1,0,0,0,3
"Trivia night is awesome. I may not look like I know much, but bam! years of religiously watching Jeopardy and mentally inhaling Brain Quest as a child finally paid off.

Also, great bartenders, but drinks are a hit or miss sometimes, so I stick with beer. The crowd here varies depending on the day, but in general, friendly people and interesting characters.

The bathrooms are in the back and shared with the diner next door.

My bf loves Scott the bouncer and would give 5 stars to him alone.",9/2/2013,Tiffaney L.,4,0,0,0,118
"I came here on a Thursday last month when the nice security man was working, who allowed me in even after catching that my driver license expired. He later monitored the bar from the inside and as I was making my way to the restroom, was kind enough to warn everyone to step aside and make some room for me to walk through.
It's a cozy bar with a mini seating area out front. The bar's theme totally slipped my mind that when my friend asked what I wanna drink, I didn't answer with Irish car bomb!
I was told that they offer karaoke but we didn't stay long enough to find out. Next time",8/29/2013,Anh Thu H.,4,0,0,0,21
Heidi is right! Don't order a cocktail here.... My friend and I were walking by and decided to stop here since it seemed fun. (there were lots of people here on a friday night) She ordered a margarita and I got a cranberry and vodka. The bartender looked at us like we were crazy and pushed for us to close out our tab before he even  made the drinks. What the...?? I've never had a bartender do that before. We would have loved to stay there and order more drinks if the bartender wasn't pushy and rude. No thanks! We won't be back.,8/22/2013,A D.,1,0,0,1,42
"I came here on a Saturday afternoon, so the atmosphere was pretty chill except for some rowdy sport fans (but that's what makes it a real Irish pub right?).

I tried the Fruli Strawberry and it was probably one of the best beers I've ever tasted! You can't go wrong with that Belgian brew!",8/20/2013,Jackie K.,4,0,0,0,5
Don't order a cocktail here. It's a whiskey and beer kind of place. Rude bartenders.,8/18/2013,Heidi W.,2,1,1,0,7
"I haven't been much of a drinker lately (not compared to college years!) but I'm a fan of this place.  Occasionally you get a few rowdy/loud patrons but hey..it's an Irish pub! I enjoy their wide selection of beers, liquor, etc.--drinks are reasonably priced and most importantly, the bartenders are knowledgeable and friendly.  I was sitting at the bar, worn out from a day of walking around Christmas in the Park with 5 of my friends and also ready to pass out from the last couple of shots I had and the guy offered me a glass of water..that's the first time t hat I've ever seen that at a bar.  Also is convenient that right next door is a diner, yay! I heard their trivia night is good too",7/31/2013,Kimi K.,4,1,1,1,59
"I decided to venture to San Jose to check out the Annie Leibovitz exhibit at the San Jose Museum of Art.  When I've told people this, they're like, ""You went ALL THE WAY to San Jose?!""  Relax, it's 30-45 minutes away.  

I parked on Santa Clara Street because (1) I noticed Los Gatos Brewing Company, (2) I love breweries, and (3) it's a hop, skip and a jump away from the San Jose Museum of Art.  Sadly, it's closed on Saturdays (um, all of Saturday = prime beer drinking hours, LGBC).  I noticed a sign for a wine bar ""without the pretension"" so I followed it.  Naturally, I like to have a drink before looking at art as it gets those creative synapses firing.  

Before I could find any wine bar I noticed O'Flaherty's (referred to as OFIP in the rest of this review) and quickly changed plans.  The storefront of OFIP is completely open.  This was a welcome change from the 59-degree-in-July weather on the peninsula (which I enjoy 90% of the time), at least for the afternoon.  I always forget that San Jose enjoys 80 degree temperatures in the summer.  

I walked in and looked at the chalkboard for about 5 minutes.  As a bona fide beer-nerd, I must say that their offerings were as extensive as they were impressive. I had just finished reading the chalkboard menu when I noticed another one off to my left.  What?!  I was kind of overwhelmed by the choices--I didn't want to make a bad one.  The bartender walked out from behind the bar and asked if I needed help.  Did I ever!  I asked if he had Pliny the Elder, to simplify things for myself since I know I love that beer.  They didn't have it (shucks).  I asked him for an IPA recommendation.  He suggested the Santa Clara IPA.

At an Irish bar with such a big import selection, I felt kind of lame ordering a local beer, but what the heck.  When in Santa Clara County, do as the Santa Claras do.  (Just kidding, I actually don't know if San Jose is in Santa Clara County.)  It was a solid beer--strangely smooth, rich caramel color, not too dry or hoppy.  Actually, that doesn't really sound like an IPA now does it?  Normally they are dry, bitter, fragrant--biting even.  Hm.  No matter--I'm generally happy with a beer in tow.  

I sat on the sidewalk patio to enjoy my brew in the sunshine.  The bartender even delivered the beer to me versus making me wait at the bar for it.  Ah-the best.  All of a sudden, the car alarm from a blue pick-up truck parked across the street started going off incessantly.  My word--can a girl get a minute's peace?  It would stop for five minutes and then get going again.  Man alive, it was annoying.  A sassy hipster fella walked by and asked the kids 2 tables away from me if he could have a pen and a paper. He proceeded to write a note to the owner of the vehicle.  ""Dear Sir or Madam: I couldn't help but notice your blue truck parked across the street..."" and on and on about how it disturbed his afternoon, but with the politest tone. Haha-nice.

I finished 3/4 of my beer (I never drink the remaining 1/4--always leave that for the homies). I peaced out shortly thereafter.

OFIP has large televisions that you can see from the sidewalk patio with sports ball on (soccer or baseball that day).  It was very full for a Saturday afternoon (Read: day drinking is encouraged).  Unbelievable beer selection.  All in all, A++ environment for hooliganism.  

One little drawback--my beer was $9.00 (*low whistle*). That was almost twice the cost of my ticket to the museum. Thank you, tech industry!  (Note: If your beer is $9, a good tip is $2 per beer, and not $1 per beer.  Only the best for our friends.)

Other than that, loved it.",7/26/2013,Sunny S.,4,0,1,0,134
