excerpt,post_date,user_name,user_rating,rating_useful,rating_funny,rating_cool,user_status,reviews[].user.id
"I get here at 4:53 PM and walk through the unlocked door and up to the bar.  A hot blonde asks ""how can I help you,"" I say ""what are your happy hour specials?""  She replies ""sorry we don't open until 5pm."" I ask ""then can I just sit at the bar until you open?"" to which she says ""sorry we're still closed."" THEN WHY DID YOU ASK HOW YOU CAN HELP ME, and WHY IS THE DOOR OPEN!  Sigh.Once open, the food is hit or miss (tater tots no, chicken pizza yes) and the atmosphere is upbeat for a bar.  Friends say this is the best place to watch bay area sports because it's one of the only places that plays the sound, but it's no big deal for me.  A bar is a bar is a bar, once it's open.....",9/27/2013,"David ""DakK"" K",3,0,0,0,5,FPkMBz1P9xHGKNDZz8Szug
"It seems like a lot of the time there is a line for the bathroom? The door to the bathroom is always open (I actually do not know if there is a door) and there's only one stall, so it sucks if you have shy bladder. When I went to the bathroom, two guys were talking kinda loud and it seemed like one or both maybe wanted to fight? There was also one of those guys who hands you paper towels and wants money, but there are a lot of sinks and it's hard for him to stand between them and the door so it was pretty easy to avoid him.",9/25/2013,Larry B,3,0,0,0,5,DNDthV6cnQRFnSrKMDxTJw
"Two dollar Tuesdays video games n beer pong Wednesdays 4$ Thursdays, bottomless beer during sporting events Friday Saturday club scene Sunday morning football and bottomless mimosas and super hot bartenders! I practically live there!",9/16/2013,Irvin G.,5,0,1,0,1,omnGX8zL6lB8my8-BBBdGQ
lol...really?? ehh...it was alright..,9/1/2013,Darius G.,3,0,0,0,45,gWgfo6dZ27pyxlVSNqDTyQ
"I have been here a couple times to grab a drink and every time it takes forever. On some occasions the bartenders are so slow that my friends and I just leave and go somewhere else. For this visit, we actually came here for happy hour and let me tell you, their happy hour is not that happy. It is actually pretty expensive still.

Now don't get me wrong, the food isn't too bad and the bartenders are pretty nice, but I think they spread their employees a little too thin. They weren't able to greet our table for 20 minutes and it took them even longer for them to get us our beers. We ordered 2 different types of sliders, calamari, and loaded tater tots. We wait for almost an hour in total for all of our food to finally come out.

I would recommend to sit at the bar instead of a table if you are choosing to eat here. I am giving then 2 stars solely for the bartender and server. They were very pleasant and apologetic for having us wait so long for all of our items. It is not their fault that they have been spread too thin and are just physically unable to do everything they are supposed to.","
8/27/2013",Theo T.,2,0,1,0,179,62F28369AY13NOZxUA5tfA
"I would have given this bar only 3 stars, as it seems merely average to me. Hip hop music with a small dance floor and huge bar area.

But then they had their Gosh Golly Miss Molly night, which blew my mind.
They had amazing lights, great EDM music, and handed out glow sticks. We bounced to LOFT after that, and kept getting harrassed by people jealous of our big foam glowsticks. We came back to Bar & Grill after, because we liked the atmosphere better. We didn't want the night to end!

On other nights, they never play EDM. I've special requested it before, and they said the closest they'll play is ""Get Lucky"" by Daft Punk. Whatever...

One good thing, there's no cover. And they have great drink deals on special nights, like Tuesdays. But their website (and Yelp) is really outdated on hours and such. Someone needs to get on that.

Oh, and I left my card there. They were very helpful in locating it in the back. That was great.

Was this review …?",8/1/2013,Melanie R.,4,4,0,1,525,fquTEV93jh82JYob6u0CEA
"A pretty standard sports/dive bar - perfect if you don't want to miss a game.  On a Friday night it was packed and somehow our beer was only $3?!!! Though the scene wasn't really my style, I have a feeling we'll be stopping in on the way to our final destination just for a quick beer. You really can't go wrong.",6/24/2013,Emily Y.,,2,0,0,0,MzHFiMJG9xrMOKCGqe5ysA
"I cannot decide if this place is a dive bar that attempts to be a sports bar or a sports bar that attempts to be a dive bar. There if a somewhat strange aroma that permeates the place. Even though they serve American bistro style food, it smells like Indian cuisine in here. Weird.  The service was decent. They only serve one brand of red wine so my options were limited but it was decent.  What earns this place four stars is the burger itself. I ordered  a black and bleu burger that actually had some decent spice to it.  There was a hefty serving of bleu cheese crumbles too.  It was really good and it came with cajun fries that were nigh on perfect in terms of flavor and crispiness.  I would eat here regularly if I lived close.",6/22/2013,ZenRider X.,4,0,0,0,43,W8zauC9YPUURGeBU3dyxSA
"Do you feel a little too old/classy for Tres Gringos? Do you still want to party like a frat boy?

Here you go!

It seems very much a boy's club, which is cool, because hey, I'm into that, but not into this place. Boring. Not a lot going on, and when there is I'm not feeling the vibe here...just starchy I guess. It's a-okay, but there's definitely better spots in downtown.

Was this review …?",6/10/2013,Morgan P.,2,2,1,1,122,BYGL3fwfEZw_lqfZ0rlRsQ
"Fun place to be but only on Tuesdays and Thursdays, because the nearest parking is a flat $5. I went on a Friday and it was $20. On those two days the well drinks are $2. Good music playing all the time and awesome bartenders.  My friends and I come here a good amount.",4/15/2013,Joe N.,4,0,0,0,77,O2RPLGT5-yD_0miX1Mt4Gg
